Nr;Datum;Hiragana;Katakana;Kanji;Romaji;Deutsch;Typ;Update
13;2019-06-27;すいようび;;水よう日;suiyoubi;Mittwoch;Substantiv;
13;2019-06-27;もくようび;;木よう日;mokuyoubi;Donnerstag;Substantiv;
13;2019-06-27;きんようび;;金よう日;kinnyoubi;Freitag;Substantiv;
13;2019-06-27;どようび;;土よう日;doyoubi;Samstag;Substantiv;
13;2019-06-27;にちようび;;日よう日;nichiyoubi;Sonntag;Substantiv;
13;2019-06-27;げつ;;月;tsuki;Mond;Substantiv;
13;2019-06-27;か;;火;hi;Feuer;Substantiv;
13;2019-06-27;すい;;水;mizu;Wasser;Substantiv;
13;2019-06-27;もく;;木;ki;Baum;Substantiv;
13;2019-06-27;きん;;金;kin;Gold / Geld;Substantiv;
13;2019-06-27;ど;;土;tsuchi;Erde;Substantiv;
13;2019-06-27;にち;;日;hi;Tag / Sonne;Substantiv;
14;2019-07-04;きせつ;;季節;kisetu;Jahreszeit;Substantiv;
14;2019-07-04;はる;;春;haru;Frühling;Substantiv;
14;2019-07-04;なつ;;夏;natu;Sommer;Substantiv;
14;2019-07-04;あき;;秋;aki;Herbst;Substantiv;
14;2019-07-04;ふゆ;;冬;fuyu;Winter;Substantiv;
