course;number;created_at;hiragana;katakana;kanji;kana;german;pos;key;updated_at
A1.1;4;2019-03-21;;;;<ruby><rb>趣</rb><rt>しゅ</rt></ruby><ruby><rb>味</rb><rt>み</rt></ruby>;Hobby;名;hobby;2020-01-15
A1.1;4;2019-03-21;;;;と;und;接;and;2019-07-20
A1.1;4;2019-03-21;;;;わたしのしゅいは、 ☐ です。;Mein Hobby ist ☐ .;文;my_hobby_is;2020-01-18
A1.1;4;2019-03-21;;;;わたしのしゅいは、 ☐ と ☐ です。;Mein Hobby ist ☐ und ☐ .;文;my_hobby_is_and;2020-01-18
A1.1;4;2019-03-21;;;;はい、（とても）（よく）わかりました。;Ja, ich habe (sehr) (gut) verstanden.;文;yes_i_understand;2020-01-18
A1.1;4;2019-03-21;;;;いいえ、（ぜんぜん）　わかりません。;Nein, ich habe (gar) nicht verstanden.;文;no_i_do_not_understand;2020-01-18
A1.1;4;2019-03-21;;;;スポーツ;Sport;名;sports;2019-07-20
A1.1;4;2019-03-21;;;;<ruby><rb>剣</rb><rt>けん</rt></ruby><ruby><rb>道</rb><rt>どう</rt></ruby>;Kendō;名;kendo;2020-01-18
A1.1;4;2019-03-21;;;;ジョギング;Jogging;名;;
A1.1;4;2019-03-21;;;;<ruby><rb>散</rb><rt>さん</rt></ruby><ruby><rb>歩</rb><rt>ぽ</rt></ruby>;Spaziergang;名;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>料</rb><rt>りよう</rt></ruby><ruby><rb>理</rb><rt>り</rt></ruby>;Kochen;動;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>本</rb><rt>ほん</rt></ruby>;Buch;名;;2020-01-18
A1.1;4;2019-03-21;;;;どくしよ;Buch lesen;動;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>漫</rb><rt>まん</rt></ruby><ruby><rb>画</rb><rt>が</rt></ruby>;Manga;名;;2020-01-18
A1.1;4;2019-03-21;;;;まんが ぼんを<ruby><rb>読</rb><rt>よ</rt></ruby>むこと;Manga lesen;動;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>音</rb><rt>おん</rt></ruby><ruby><rb>楽</rb><rt>がく</rt></ruby>;Musik;名;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>音楽</rb><rt>おんがく</rt></ruby><ruby><rb>鑑賞</rb><rt>かんしよう</rt></ruby>;Musik hören;動;;2020-01-18
